"","Type","Region","Admit.rate","X4.yr.grad.rate","Total.cost.per.yr.","Avg.need.based.aid","Avg.non.need.based.aid","X..of.non.need.based.aid","Avg.debt.at.graduation","Salary"
"96","Public","W/SW",45,65,115,15000,6000,5,21900,54800
"97","Liberal Arts","MW",58,74,176,25892,18240,93,34999,55600
"98","Public","MW",60,70,91,14244,5240,18,25222,57600
"99","Private","NE",33,83,276,37351,15200,16,32922,55300
"100","Private","MA",44,87,229,30497,15614,12,35545,74500
"101","Liberal Arts","MA",43,84,228,34208,12279,43,31169,53400
"102","Liberal Arts","MA",37,81,252,36748,10544,58,33045,63200
"103","Liberal Arts","MW",28,72,272,37059,14434,77,27114,40200
"104","Liberal Arts","SE/MS",95,71,114,24196,17513,94,30514,41700
"105","Liberal Arts","NE",35,81,259,37745,0,0,27514,53400
"106","Public","MW",53,57,103,10943,4452,10,27831,54200
"107","Public","SE/MS",26,41,93,11070,11275,16,32169,75800
"108","Public","MA",49,75,75,11951,496,14,35798,56200
"109","Liberal Arts","NE",34,80,284,44812,29420,6,29506,58800
"110","Private","NE",55,72,154,25648,19274,65,26870,44500
"111","Public","SE/MS",68,49,12,9853,3552,7,22058,36800
"112","Private","W/SW",48,82,233,27281,14378,41,27385,69600
"113","Liberal Arts","MW",66,73,174,29998,19558,84,27653,47800
"114","Private","NE",46,83,224,30600,18705,35,31046,80600
"115","Public","SE/MS",47,44,10,7364,2692,14,22337,41800
"116","Public","MW",54,59,82,9548,7034,31,27930,43700
"117","Public","MW",56,49,61,13404,5959,21,27530,55000
"118","Private","SE/MS",38,70,204,29827,19247,42,21500,57800
"119","Private","MW",79,67,35,11640,6363,74,23367,36100
"120","Public","MA",67,71,21,2242,2774,13,24784,46700
